,Otázka,Správná odpověď,Distraktor 1,Distraktor 2,Distraktor 3,Vysvětlivky a poznámky
Radiokomunikační předpisy,Zajištění účelného využívání rádiových kmitočtů a správu rádiového spektra vykonává,Český telekomunikační úřad,Ministerstvo průmyslu a obchodu,Radiokomunikační rada ČR,Ministerstvo dopravy a spojů,"Vzdušný prostor je plný vln (rádia, mobily, Wi-Fi). Aby v tom nebyl chaos, musí někdo frekvence hlídat a přidělovat. To má v ČR na starosti ČTÚ."
Radiokomunikační předpisy,"Radiokomunikační službou je komunikační činnost, která spočívá v přenosu, vysílání nebo příjmu signálů prostřednictvím",Rádiových vln,Akustických vln,Optických kabelů,Mikrovlnných laserů,"Radiokomunikační služba je jakákoliv komunikace vzduchem bez drátů. Aby to byla radiokomunikace, musí se informace (hlas, data) přenášet čistě pomocí rádiových vln."
Radiokomunikační předpisy,Individuální oprávnění k vyžívání rádiových kmitočtů uděluje,Český telekomunikační úřad,Ministerstvo vnitra ČR,Úřad pro civilní letectví,Řízení letového provozu,"Vysílačka v letadle využívá státní frekvence. Abys ji mohl legálně používat, potřebuješ povolení k provozu (licenci pro stanici), které schvaluje a vydává právě ČTÚ."
Radiokomunikační předpisy,Držitel individuálního oprávnění k využívání rádiových kmitočtů je povinen platit za využívání rádiových kmitočtů,Poplatek dle nařízení vlády o poplatcích,Paušální daň z vysílacího pásma,Licenční poplatek mezinárodní unii ITU,Roční příspěvek Autorskému svazu (OSA),"Za provoz rádia v letadle se platí roční poplatek státu. Částka není vymyšlená úřadem, ale je pevně stanovená nařízením vlády."
Radiokomunikační předpisy,Rádiovým spektrem se rozumí elektromagnetické vlny o kmitočtu (frekvenci),Nižším než 3 000 GHz,Vyšším než 100 kHz,V rozmezí 30 MHz až 300 GHz,Nižším než 300 MHz,"Rádiové spektrum je jen částí celkového elektromagnetického vlnění. Mezinárodně dohodnutá hranice, kde končí rádiové vlny a začíná světlo, je právě 3 000 GHz – všechno pod touto frekvencí je rádio."
Radiokomunikační předpisy,Rádiové kmitočty z pásma 160 MHz spadají do pásma označovaného jako,VHF,UHF,HF,SHF,"VHF is zkratka pro Very High Frequency (Velmi vysoká frekvence). Jedná se o klíčové letecké pásmo, které se mezinárodně pohybuje v rozsahu od 30 do 300 MHz – proto tam spadá i kmitočet 160 MHz."
Radiokomunikační předpisy,Státní kontrolu elektronických komunikací vykonává,Český telekomunikační úřad,Česká obchodní inspekce,Policie ČR - Útvar pro kybernetickou bezpečnost,Ministerstvo informatiky,"Státní kontrola elektronických komunikací znamená dohled nad tím, zda lidé a firmy správně používají rádio, internet nebo mobily a neruší ostatní. Jelikož jde o kontrolu éteru a sítí, v ČR ji má na starosti výhradně Český telekomunikační úřad (ČTÚ)."
Radiokomunikační předpisy,Fyzická osoba vykonávající obsluhu vysílacího rádiového zařízení bez platného průkazu odborné způsobilosti se dopustila,Přestupku,Trestného činu maření výkonu úředního rozhodnutí,Správního deliktu právnických osob,Disciplinárního prohřešku,"Vysílání bez průkazu je porušení zákona. Protože jde o protiprávní jednání člověka (fyzické osoby) a ne o zločin, je to prostě přestupek s pokutou."
Radiokomunikační předpisy,Za obsluhu vysílacího rádiového zařízení bez platného průkazu odborné způsobilosti lze uložit fyzické osobě pokutu do výše,100 000 Kč,10 000 Kč,50 000 Kč,500 000 Kč,"Když vysíláš bez průkazu radiotelefonisty, porušuješ zákon. ČTÚ ti za tento přestupek může napálit pokutu až do maximální výše 100 000 Kč."
Radiokomunikační předpisy,V mezinárodní volací značce České republiky tvoří první dvě písmena (prefix) vždy dvojice písmen,OK nebo OL,CZ nebo CR,CZA nebo CZB,OK nebo OM,"Značku OK mají standardní civilní letadla. Značka OL je mezinárodně přidělená Česku taky, ale používá se pro speciální účely – v letectví ji mají například vojenská letadla nebo se používá v lodní dopravě."
Radiokomunikační předpisy,Mezinárodní volací značka letadlové stanice u letounů zapsaných v leteckém rejstříku ČR je,OK a další tři písmena,CZ a další čtyři čísla,OL a identifikační číslo letu,OK a typové označení letadla,Česká letadla mají v rejstříku vždy pětipísmennou značku. První dvě písmena (OK) označují Českou republiku a následující tři písmena jsou unikátní kód konkrétního letadla (např. OK-ABC).
Radiokomunikační předpisy,Falešné volací značky a falešné signály,Se nesmí používat,Se smí používat pouze při zkušebním vysílání do umělé zátěže,Jsou povoleny v případě nouze mimo letecká pásma,Lze použít se souhlasem Řízení letového provozu,Používání falešných značek nebo vysílání falešných signálů (zejména tísňových) je v letectví přísně zakázáno. Ohrožuje to bezpečnost letového provozu a záchranu lidských životů.
Radiokomunikační předpisy,Pohyblivá stanice letecké pohyblivé služby je,Letadlová stanice,Pozemní meteorologický radar,Věž řízení letového provozu (TWR),Mobilní telefon na palubě letadla,"Letecká pohyblivá služba je komunikace s čímkoliv, co za letu mění polohu. Stanice umístěná na palubě letadla se proto oficiálně nazývá letadlová stanice."
Radiokomunikační předpisy,Pevná služba je,Radiokomunikační služba mezi stanovenými pevnými body,Služba zajišťující opravy pevných vysílačů,Komunikace mezi základnovou stanicí a jedoucím vozidlem,Jakékoliv nouzové vysílání záchranných složek,"Na rozdíl od letadel, která se hýbou, je pevná služba komunikace mezi vysílači, které stojí pevně na zemi (např. mezi dvěma budovami nebo věžemi). Signál tedy putuje výhradně mezi pevně stanovenými body."
Radiokomunikační předpisy,Nejvyšší prioritu a absolutní přednost má zpráva,Tísňová,Pilnostní,Meteorologická,Vládní/Státní,"V letectví je lidský život na prvním místě. Tísňová zpráva (uvozená signálem MAYDAY) hlásí bezprostřední ohrožení letadla nebo posádky, proto musí okamžitě utichnout veškerý ostatní provoz a tato zpráva má absolutní přednost přede vším."
